date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:41	351/351	---M-Z	200	added ('OK')	text/plain	date:Sun,%2019%20Nov%202023%2012:35:15%20GMT	https://www.footprint-intelligence.com/robots.txt		(from )
16:46:42	972492/972492	---M-Z	200	added ('OK')	text/html	etag:W/%2299c648ba8ed84b6138e382427f84df88--gzip%22	https://www.footprint-intelligence.com/	C:/My%20Web%20Sites/adham/www.footprint-intelligence.com/index.html	(from )
16:46:43	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Sun,%2019%20Nov%202023%2014:45:27%20GMT	http://static1.squarespace.com/static/646f9bfe5c10277d6cd432c7/t/647a37af96340a493e8c9f9e/1685731252401/FP_Teaser_new2.jpg?format=1500w	C:/My%20Web%20Sites/adham/static1.squarespace.com/static/646f9bfe5c10277d6cd432c7/t/647a37af96340a493e8c9f9e/1685731252401/FP_Teaser_new2.026f7.delayed	(from https://www.footprint-intelligence.com/)
16:46:45	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/adham/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.footprint-intelligence.com/)
16:46:48	48111/48111	---M-Z	200	added ('OK')	text/javascript	etag:%2299dd702264985e2fcd8fd5b8c4214a1a%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-a36745c5e70ed578aef7c-min.en-US.js	C:/My%20Web%20Sites/adham/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-a36745c5e70ed578aef7c-min.en-US.js	(from https://www.footprint-intelligence.com/)
16:46:51	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/adham/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.footprint-intelligence.com/)
16:46:52	124578/124578	---M-Z	200	added ('OK')	text/javascript	etag:%223928ae779effa841561293a3516d226a%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-110eab6cc05faf9931604-min.en-US.js	C:/My%20Web%20Sites/adham/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-110eab6cc05faf9931604-min.en-US.js	(from https://www.footprint-intelligence.com/)
16:46:52	57811/57811	---M--	200	added ('OK')	image/jpeg	etag:CI2rkqOepf8CEAE=	https://images.squarespace-cdn.com/content/646f9bfe5c10277d6cd432c7/1685731248530-QLHL1ZPWFM2YO5MWQ5FM/FP_Teaser_new2.jpg?content-type=image%2Fjpeg	C:/My%20Web%20Sites/adham/images.squarespace-cdn.com/content/646f9bfe5c10277d6cd432c7/1685731248530-QLHL1ZPWFM2YO5MWQ5FM/FP_Teaser_new2ee8a.jpg	(from https://www.footprint-intelligence.com/)
16:47:04	245973/245973	---M-Z	200	added ('OK')	text/javascript	etag:%221af8081d95ce0e7a8730faceb7e46df7%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-988cea152e72258d821b3-min.en-US.js	C:/My%20Web%20Sites/adham/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-988cea152e72258d821b3-min.en-US.js	(from https://www.footprint-intelligence.com/)
16:47:09	1370874/1370874	---M-Z	200	added ('OK')	text/javascript	etag:%22ec891f64e070ff9f9bc701d6c5f3fe4c%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-e67ac5a108455ec4edca7-min.en-US.js	C:/My%20Web%20Sites/adham/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-e67ac5a108455ec4edca7-min.en-US.js	(from https://www.footprint-intelligence.com/)
